Sales,Buy,Duration,PageViews
0.99,Buy,32,36
0,No Buy,39,26
0.99,Buy,30,9
0.99,Buy,4,6
0,No Buy,1,4
0,No Buy,4,2
0,No Buy,4,3
0,No Buy,4,4
0,No Buy,1,4
0,No Buy,4,9
0.99,Buy,83,21
0,No Buy,35,30
0,No Buy,1,2
0,No Buy,1,4
0,No Buy,11,7
0.99,Buy,3,5
0.99,Buy,41,15
0.99,Buy,10,7
0.99,Buy,53,18
0.99,Buy,20,9
0.99,Buy,33,15
0,No Buy,14,11
0.99,Buy,7,7
0,No Buy,6,11
0,No Buy,31,15
0,No Buy,2,5
0,No Buy,17,9
0.99,Buy,12,4
0.99,Buy,54,26
0.99,Buy,1,5
0.99,Buy,3,3
0.99,Buy,4,4
0,No Buy,5,5
0,No Buy,52,32
0.99,Buy,64,33
0,No Buy,52,22
0.99,Buy,55,22
9,Buy,1,15
0,No Buy,4,5
0,No Buy,4,6
0,No Buy,12,5
0,No Buy,42,17
0.99,Buy,12,6
12.99,Buy,22,19
0,No Buy,3,3
0.99,Buy,45,16
0,No Buy,40,19
0,No Buy,37,11
0,No Buy,99,45
0,No Buy,6,4
0.99,Buy,7,3
1.99,Buy,56,17
0,No Buy,3,3
0.99,Buy,15,9
0,No Buy,6,2
1.99,Buy,21,5
0,No Buy,2,3
0,No Buy,5,3
0.99,Buy,10,17
0,No Buy,1,1
0.99,Buy,5,11
0,No Buy,7,3
0,No Buy,9,3
0,No Buy,8,3
0.99,Buy,5,11
0.99,Buy,22,16
0.99,Buy,9,3
0.99,Buy,5,3
0,No Buy,1,3
0,No Buy,2,2
0.99,Buy,13,7
0,No Buy,5,3
0.99,Buy,12,12
0.99,Buy,2,6
0.99,Buy,21,28
0.99,Buy,7,23
0,No Buy,1,3
0,No Buy,11,6
0,No Buy,6,17
0,No Buy,4,15
0,No Buy,6,23
0,No Buy,5,11
0,No Buy,11,8
0,No Buy,2,5
0,No Buy,1,2
0,No Buy,17,14
0.99,Buy,23,8
0,No Buy,2,2
0,No Buy,3,3
0.99,Buy,51,38
0,No Buy,30,12
0,No Buy,8,8
0,No Buy,4,4
0,No Buy,7,2
0,No Buy,2,2
0,No Buy,9,6
0,No Buy,13,7
0,No Buy,3,7
0,No Buy,7,7
0,No Buy,1,4
0,No Buy,38,41
0.99,Buy,13,20
0.99,Buy,6,10
0,No Buy,1,7
0.99,Buy,71,29
0.99,Buy,34,44
0.99,Buy,7,5
0,No Buy,12,8
0,No Buy,1,2
0,No Buy,29,6
0,No Buy,20,6
0,No Buy,1,3
0,No Buy,2,3
0.99,Buy,13,5
0,No Buy,14,7
0,No Buy,7,3
0.99,Buy,8,3
0.99,Buy,17,13
0,No Buy,2,2
0.99,Buy,31,8
0,No Buy,26,3
0,No Buy,16,4
0,No Buy,3,3
0,No Buy,11,5
0,No Buy,3,8
0,No Buy,13,8
0,No Buy,2,3
0,No Buy,2,5
0,No Buy,2,6
0,No Buy,1,5
0,No Buy,1,4
0,No Buy,13,18
0,No Buy,19,11
0,No Buy,3,4
0,No Buy,26,18
0,No Buy,1,4
0,No Buy,22,9
0,No Buy,1,2
0,No Buy,10,18
0,No Buy,1,2
0,No Buy,4,28
0,No Buy,3,11
0,No Buy,1,15
0,No Buy,1,2
0,No Buy,30,15
0,No Buy,1,2
0,No Buy,10,4
0,No Buy,1,3
0,No Buy,27,16
4.99,Buy,2,4
0.99,Buy,20,8
0.99,Buy,38,9
4.99,Buy,106,49
0,No Buy,12,14
0,No Buy,23,34
0,No Buy,4,7
0,No Buy,2,4
0,No Buy,2,2
0.99,Buy,10,21
9.99,Buy,1,14
0,No Buy,13,20
0,No Buy,1,5
0,No Buy,1,3
0,No Buy,2,4
99.95,Buy,91,74
0,No Buy,2,4
0,No Buy,1,5
9.99,Buy,3,11
0,No Buy,1,5
0,No Buy,1,7
0,No Buy,8,11
0,No Buy,4,6
0,No Buy,1,3
0,No Buy,3,2
0,No Buy,4,4
0,No Buy,38,18
0,No Buy,1,4
0,No Buy,20,5
0,No Buy,12,11
0,No Buy,1,3
0,No Buy,30,11
0,No Buy,13,3
0,No Buy,4,8
0,No Buy,3,6
0,No Buy,1,5
0,No Buy,3,3
0,No Buy,2,2
0,No Buy,1,5
0,No Buy,5,10
0,No Buy,2,2
0,No Buy,6,13
0,No Buy,2,5
0,No Buy,8,8
0,No Buy,3,3
0.99,Buy,14,5
0.99,Buy,41,22
0,No Buy,4,3
0,No Buy,5,4
0,No Buy,1,5
0,No Buy,6,12
0.99,Buy,6,12
0,No Buy,6,8
0.99,Buy,10,8
0.99,Buy,3,3
0.99,Buy,11,20
0,No Buy,9,5
0.99,Buy,14,22
0.99,Buy,6,8
0.99,Buy,8,4
0.99,Buy,24,16
0.99,Buy,6,10
0,No Buy,2,5
0.99,Buy,13,12
0.99,Buy,27,12
0.99,Buy,16,18
0.99,Buy,27,13
0,No Buy,1,3
0,No Buy,5,6
0,No Buy,4,9
0,No Buy,5,15
0,No Buy,3,7
0,No Buy,2,4
0,No Buy,30,13
0,No Buy,3,12
0,No Buy,11,27
0,No Buy,10,9
0,No Buy,2,11
0,No Buy,1,5
0,No Buy,1,3
0,No Buy,29,10
0,No Buy,32,14
0,No Buy,19,16
0,No Buy,38,18
0,No Buy,1,2
0,No Buy,3,6
0.99,Buy,61,9
0,No Buy,1,6
0,No Buy,10,5
0,No Buy,4,3
0,No Buy,52,4
0,No Buy,11,3
0,No Buy,19,2
0,No Buy,10,12
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,11,4
0,No Buy,28,17
0,No Buy,1,2
0,No Buy,12,4
0,No Buy,2,3
0,No Buy,3,3
0,No Buy,1,3
0,No Buy,3,3
0,No Buy,52,4
0,No Buy,17,8
0,No Buy,6,6
0,No Buy,1,1
0,No Buy,4,10
0,No Buy,25,31
0,No Buy,1,5
0.99,Buy,11,7
0,No Buy,3,2
0.99,Buy,2,2
0,No Buy,1,2
0.99,Buy,9,5
0,No Buy,80,18
0,No Buy,12,6
9.99,Buy,2,18
0,No Buy,33,25
0,No Buy,4,3
0.99,Buy,15,8
0,No Buy,6,8
0,No Buy,1,4
0.99,Buy,25,3
0.99,Buy,4,2
0.99,Buy,66,7
0,No Buy,34,9
0,No Buy,1,4
0.99,Buy,105,9
0,No Buy,1,3
0,No Buy,16,8
0,No Buy,4,6
0,No Buy,3,2
0.99,Buy,3,2
0.99,Buy,6,9
0,No Buy,3,7
0,No Buy,1,3
0,No Buy,19,6
0,No Buy,11,6
0,No Buy,10,2
0,No Buy,22,9
0,No Buy,5,11
0.99,Buy,14,3
0.99,Buy,7,2
0,No Buy,1,9
0,No Buy,8,35
0.99,Buy,6,12
0.99,Buy,1,2
0.99,Buy,9,5
0.99,Buy,3,4
0.99,Buy,2,5
0,No Buy,7,8
0.99,Buy,1,2
0,No Buy,1,2
0.99,Buy,3,3
0.99,Buy,1,2
0.99,Buy,30,20
0,No Buy,4,6
1.99,Buy,2,6
0.99,Buy,1,2
0,No Buy,31,22
0,No Buy,26,24
0.99,Buy,2,3
0.99,Buy,7,2
0,No Buy,10,7
0,No Buy,18,13
0.99,Buy,87,17
1.49,Buy,28,25
0,No Buy,1,4
0.99,Buy,1,2
9.99,Buy,8,17
0,No Buy,1,2
1.49,Buy,15,9
0,No Buy,5,4
0.99,Buy,19,12
0.99,Buy,7,3
0.99,Buy,28,2
0,No Buy,4,6
0,No Buy,29,21
0,No Buy,16,17
0.99,Buy,15,5
0.99,Buy,2,2
0,No Buy,3,5
1.99,Buy,20,7
0.99,Buy,15,4
0.99,Buy,45,9
0,No Buy,4,9
0,No Buy,1,2
0.99,Buy,27,23
1.99,Buy,7,11
0.99,Buy,23,19
1.99,Buy,13,2
0.99,Buy,18,16
0,No Buy,16,14
0.99,Buy,32,19
0.99,Buy,12,8
0,No Buy,8,6
0.99,Buy,1,4
0,No Buy,7,11
0,No Buy,9,15
0,No Buy,3,9
0,No Buy,5,2
0,No Buy,20,1
0,No Buy,1,2
0.99,Buy,56,5
0,No Buy,10,20
0,No Buy,13,6
0,No Buy,1,2
0,No Buy,10,8
0,No Buy,1,5
0,No Buy,2,2
0,No Buy,1,5
0.99,Buy,50,25
0,No Buy,1,4
0.99,Buy,18,12
0,No Buy,2,6
0,No Buy,2,2
0,No Buy,4,3
0,No Buy,2,4
0,No Buy,4,5
0,No Buy,34,27
0,No Buy,1,4
0.99,Buy,13,12
0.99,Buy,6,7
0,No Buy,1,4
0.99,Buy,1,2
0.99,Buy,14,4
0.99,Buy,12,7
0.99,Buy,45,37
0.99,Buy,7,3
0,No Buy,1,4
0,No Buy,2,1
0.99,Buy,14,16
0,No Buy,7,8
0.99,Buy,16,15
0,No Buy,1,3
0,No Buy,1,3
0,No Buy,2,5
